S11T20R01	FrameCounter	AccX	AccY	AccZ	GyrX	GyrY	GyrZ	EulerX	EulerY	EulerZ
0.01	1	-0.028	-0.987	0.188	0.6302538	0.286479	-1.0313244	103.0464963	-0.76203414	-11.172681
0.02	2	-0.032	-0.991	0.167	1.3750992	0.1145916	-1.2032118	103.063685	-0.75057498	-11.16695142
0.03	3	-0.032	-0.992	0.168	1.6042824	0	-1.145916	103.0808738	-0.73911582	-11.16695142
0.04	4	-0.033	-0.994	0.168	1.7761698	0	-1.0313244	103.0980625	-0.73338624	-11.16695142
0.05	5	-0.033	-0.993	0.169	1.8907614	-0.1145916	-0.9740286	103.023578	-0.7448454	-11.14976268
0.06	6	-0.034	-0.993	0.17	1.9480572	-0.2291832	-0.9740286	103.0464963	-0.73338624	-11.14976268
0.07	7	-0.034	-0.994	0.172	2.0626488	-0.2291832	-0.9740286	103.063685	-0.72192708	-11.14976268
0.08	8	-0.033	-0.992	0.173	2.1772404	-0.3437748	-0.9167328	103.0866034	-0.71046792	-11.15549226
0.09	9	-0.034	-0.993	0.173	2.1772404	-0.4010706	-0.9167328	103.1095217	-0.70473834	-11.15549226
0.1	10	-0.032	-0.994	0.172	2.2345362	-0.3437748	-0.859437	103.0579555	-0.71046792	-11.14976268
0.11	11	-0.031	-0.997	0.173	2.2345362	-0.5156622	-0.9167328	103.0808738	-0.69900876	-11.14976268
0.12	12	-0.032	-0.998	0.172	2.291832	-0.572958	-0.9167328	103.1037921	-0.69327918	-11.15549226
0.13	13	-0.031	-0.999	0.174	2.2345362	-0.572958	-0.9167328	103.1267104	-0.68182002	-11.15549226
0.14	14	-0.031	-0.998	0.176	2.005353	-0.286479	-0.859437	103.1496287	-0.67036086	-11.15549226
0.15	15	-0.031	-0.997	0.175	2.005353	-0.1145916	-0.7448454	103.0751442	-0.6875496	-11.14976268
0.16	16	-0.032	-0.996	0.173	1.7761698	-0.0572958	-0.8021412	103.0980625	-0.67609044	-11.1440331
0.17	17	-0.032	-0.997	0.173	1.7761698	-0.1145916	-0.859437	103.1152513	-0.66463128	-11.1440331
0.18	18	-0.032	-0.997	0.174	1.718874	-0.1718874	-0.9167328	103.13244	-0.6589017	-11.1440331
0.19	19	-0.032	-0.996	0.173	1.6042824	-0.0572958	-1.0313244	103.1496287	-0.64744254	-11.1440331
0.2	20	-0.032	-0.997	0.174	1.6042824	0	-1.0886202	103.0694146	-0.6589017	-11.13257394
0.21	21	-0.031	-0.996	0.177	1.4896908	0.1145916	-1.0313244	103.0808738	-0.65317212	-11.12684436
0.22	22	-0.03	-0.995	0.175	1.5469866	0.2291832	-0.9167328	103.0980625	-0.64171296	-11.12111478
0.23	23	-0.029	-0.993	0.175	1.5469866	0.1718874	-0.859437	103.1152513	-0.63598338	-11.1153852
0.24	24	-0.028	-0.993	0.178	1.6042824	0.0572958	-0.859437	103.13244	-0.62452422	-11.1153852
0.25	25	-0.028	-0.994	0.18	1.4896908	0.2291832	-0.7448454	103.0464963	-0.64171296	-11.09819646
0.26	26	-0.03	-0.996	0.178	1.3750992	0.3437748	-0.7448454	103.0579555	-0.63598338	-11.09246688
0.27	27	-0.034	-0.996	0.178	1.145916	0.4583664	-0.8021412	103.0694146	-0.6302538	-11.0867373
0.28	28	-0.034	-0.997	0.178	1.0886202	0.6302538	-0.8021412	103.0808738	-0.62452422	-11.07527814
0.29	29	-0.033	-0.994	0.178	0.9740286	0.7448454	-0.859437	103.0923329	-0.61879464	-11.06954856
0.3	30	-0.033	-0.993	0.179	1.0313244	0.6302538	-0.9167328	103.0006597	-0.64171296	-11.04663024
0.31	31	-0.032	-0.993	0.177	1.0886202	0.286479	-0.859437	103.0121188	-0.6302538	-11.04090066
0.32	32	-0.031	-0.994	0.18	1.145916	0.1718874	-0.9167328	103.023578	-0.62452422	-11.04090066
0.33	33	-0.027	-0.993	0.181	1.0886202	0.1145916	-0.8021412	103.0350371	-0.61306506	-11.03517108
0.34	34	-0.026	-0.992	0.179	1.0886202	0	-0.572958	103.0464963	-0.60733548	-11.03517108
0.35	35	-0.027	-0.994	0.179	1.145916	-0.2291832	-0.4583664	102.9376343	-0.6302538	-11.02371192
0.36	36	-0.029	-0.998	0.18	0.9740286	-0.1145916	-0.4583664	102.9490934	-0.62452422	-11.02371192
0.37	37	-0.032	-1	0.181	0.859437	-0.0572958	-0.4010706	102.9605526	-0.62452422	-11.02371192
0.38	38	-0.032	-0.999	0.18	0.859437	0.0572958	-0.286479	102.9662822	-0.61879464	-11.02371192
0.39	39	-0.035	-0.999	0.183	0.6302538	0	-0.286479	102.9777413	-0.61306506	-11.02371192
0.4	40	-0.033	-0.998	0.181	0.8021412	0	-0.5156622	102.8402314	-0.65317212	-11.0007936
0.41	41	-0.032	-0.999	0.182	0.7448454	0	-0.7448454	102.845961	-0.64744254	-11.0007936
0.42	42	-0.031	-0.998	0.182	0.3437748	0.0572958	-0.8021412	102.8516906	-0.64171296	-10.99506402
0.43	43	-0.031	-0.997	0.18	0.1145916	0.1145916	-0.7448454	102.8516906	-0.6302538	-10.99506402
0.44	44	-0.028	-0.994	0.181	0	0.0572958	-0.6302538	102.8516906	-0.62452422	-10.98933444
0.45	45	-0.029	-0.99	0.18	0	0.2291832	-0.572958	102.6053186	-0.6875496	-10.96068654
0.46	46	-0.03	-0.989	0.178	0	0	-0.4010706	102.6053186	-0.68182002	-10.96068654
0.47	47	-0.032	-0.988	0.179	0.1145916	-0.1718874	-0.286479	102.6053186	-0.68182002	-10.96068654
0.48	48	-0.034	-0.99	0.178	0.1718874	-0.0572958	-0.286479	102.6053186	-0.67609044	-10.96068654
0.49	49	-0.035	-0.992	0.179	0.286479	0	-0.286479	102.6110482	-0.67609044	-10.96068654
0.5	50	-0.037	-0.993	0.177	0.2291832	0.1718874	-0.4010706	102.381865	-0.76203414	-10.92630906
0.51	51	-0.039	-0.993	0.177	0.286479	0.2291832	-0.4583664	102.381865	-0.75630456	-10.92057948
0.52	52	-0.038	-0.994	0.18	0.1145916	0.3437748	-0.6302538	102.381865	-0.75057498	-10.92057948
0.53	53	-0.038	-0.993	0.178	-0.0572958	0.4010706	-0.6875496	102.381865	-0.7448454	-10.9148499
0.54	54	-0.037	-0.993	0.178	0	0.572958	-0.6302538	102.381865	-0.73911582	-10.90339074
0.55	55	-0.036	-0.996	0.176	0	0.4010706	-0.6875496	102.1985185	-0.79641162	-10.87474284
0.56	56	-0.035	-0.996	0.176	0	0.4583664	-0.6875496	102.1985185	-0.79068204	-10.86901326
0.57	57	-0.033	-0.997	0.174	0	0.286479	-0.6875496	102.1985185	-0.78495246	-10.86328368
0.58	58	-0.034	-0.997	0.177	0.0572958	0.2291832	-0.6302538	102.1985185	-0.7734933	-10.86328368
0.59	59	-0.035	-0.995	0.18	0.0572958	0.286479	-0.572958	102.1985185	-0.7734933	-10.8575541
0.6	60	-0.035	-0.995	0.18	0.0572958	0.572958	-0.572958	102.0610085	-0.81932994	-10.83463578
0.61	61	-0.034	-0.996	0.177	0	0.859437	-0.572958	102.0610085	-0.81360036	-10.82317662
0.62	62	-0.034	-0.995	0.173	0.0572958	0.8021412	-0.5156622	102.0610085	-0.80787078	-10.81171746
0.63	63	-0.036	-0.993	0.175	0.2291832	0.6875496	-0.572958	102.0610085	-0.80787078	-10.80598788
0.64	64	-0.037	-0.993	0.175	0.3437748	0.7448454	-0.7448454	102.0667381	-0.8021412	-10.79452872
0.65	65	-0.037	-0.992	0.176	0.3437748	0.7448454	-0.9167328	101.9807944	-0.82505952	-10.77733998
0.66	66	-0.034	-0.993	0.176	0.2291832	0.859437	-0.9740286	101.9807944	-0.81932994	-10.76588082
0.67	67	-0.034	-0.992	0.175	0.286479	0.9167328	-0.9740286	101.986524	-0.80787078	-10.75442166
0.68	68	-0.034	-0.991	0.174	0.3437748	0.8021412	-1.0313244	101.986524	-0.8021412	-10.7429625
0.69	69	-0.035	-0.989	0.174	0.4583664	0.6302538	-1.145916	101.9922536	-0.79068204	-10.73723292
0.7	70	-0.034	-0.988	0.175	0.6875496	0.3437748	-1.2032118	101.917769	-0.80787078	-10.72004418
0.71	71	-0.035	-0.991	0.176	0.7448454	0.286479	-1.3178034	101.9234986	-0.79641162	-10.7143146
0.72	72	-0.035	-0.992	0.176	0.6875496	0.0572958	-0.9740286	101.9292282	-0.78495246	-10.70858502
0.73	73	-0.035	-0.995	0.176	0.6875496	-0.1718874	-0.572958	101.9349578	-0.77922288	-10.70858502
0.74	74	-0.034	-0.997	0.178	0.6302538	-0.0572958	-0.4583664	101.9464169	-0.7734933	-10.70858502
0.75	75	-0.034	-0.998	0.178	0.572958	0.1145916	-0.3437748	101.8031774	-0.81932994	-10.69139628
0.76	76	-0.033	-0.998	0.177	0.4583664	0.1718874	-0.2291832	101.808907	-0.81932994	-10.6856667
