TimeStamp(s)	FrameCounter	AccX	AccY	AccZ	GyrX	GyrY	GyrZ	EulerX	EulerY	EulerZ
0.01	1	-0.004	-1.003	-0.036	0	-2.2345362	-2.3491278	86.19007194	3.8961144	6.18221682
0.02	2	-0.041	-1.001	-0.032	-0.2291832	-2.86479	-3.8961144	86.19007194	3.93622146	6.14783934
0.03	3	-0.039	-1	-0.032	-0.4010706	-2.1772404	-3.8388186	86.18434236	3.97059894	6.12492102
0.04	4	-0.04	-1	-0.032	-0.8021412	-1.5469866	-3.5523396	86.1728832	4.00497642	6.10773228
0.05	5	-0.036	-0.998	-0.031	-1.145916	-0.9740286	-3.2085648	86.16715362	3.97059894	6.10773228
0.06	6	-0.034	-0.999	-0.029	-1.3178034	-0.572958	-2.9793816	86.14996488	3.99924684	6.09627312
0.07	7	-0.03	-1.001	-0.032	-1.4896908	0	-2.8074942	86.13277614	4.02789474	6.09627312
0.08	8	-0.024	-1.002	-0.035	-1.4896908	0.1718874	-2.7501984	86.12131698	4.05654264	6.09627312
0.09	9	-0.023	-1.004	-0.03	-1.3750992	0.286479	-2.8074942	86.10412824	4.08519054	6.09627312
0.1	10	-0.021	-1.006	-0.026	-1.432395	0.859437	-2.9793816	86.10412824	4.05654264	6.11346186
0.11	11	-0.018	-1.005	-0.023	-1.3178034	1.145916	-3.0939732	86.0869395	4.09092012	6.11919144
0.12	12	-0.015	-1.005	-0.022	-1.145916	1.3178034	-3.0939732	86.07548034	4.11956802	6.1306506
0.13	13	-0.013	-1.003	-0.021	-0.9740286	1.5469866	-2.9793816	86.06975076	4.14821592	6.14783934
0.14	14	-0.012	-1.002	-0.021	-0.859437	1.8334656	-2.8074942	86.0582916	4.17686382	6.16502808
0.15	15	-0.01	-1.003	-0.024	-0.6875496	1.8334656	-2.7501984	86.06402118	4.1539455	6.1879464
0.16	16	-0.009	-1.004	-0.024	-0.3437748	1.5469866	-2.578311	86.06402118	4.1825934	6.20513514
0.17	17	-0.007	-1.006	-0.024	-0.1145916	1.2032118	-2.4637194	86.06402118	4.20551172	6.21086472
0.18	18	-0.004	-1.007	-0.022	-0.0572958	1.145916	-2.5210152	86.0582916	4.23415962	6.22232388
0.19	19	-0.001	-1.008	-0.02	0	1.4896908	-2.5210152	86.06402118	4.25707794	6.23378304
0.2	20	0	-1.008	-0.018	0.0572958	1.9480572	-2.4064236	86.08120992	4.22843004	6.26243094
0.21	21	0	-1.007	-0.02	0.286479	2.1199446	-2.291832	86.0869395	4.25134836	6.27961968
0.22	22	0	-1.006	-0.022	0.572958	2.1199446	-2.291832	86.09266908	4.27426668	6.302538
0.23	23	-0.001	-1.006	-0.023	0.9167328	2.1199446	-2.2345362	86.10412824	4.297185	6.31972674
0.24	24	-0.001	-1.007	-0.022	1.2605076	2.1772404	-2.291832	86.1155874	4.3258329	6.34264506
0.25	25	-0.005	-1.005	-0.022	1.7761698	2.0626488	-2.1772404	86.14996488	4.30291458	6.37129296
0.26	26	-0.005	-1.008	-0.021	2.2345362	2.1199446	-2.0626488	86.1728832	4.3258329	6.3884817
0.27	27	-0.005	-1.009	-0.02	1.718874	2.6929026	-2.1772404	86.19007194	4.34875122	6.4171296
0.28	28	-0.005	-1.008	-0.021	1.9480572	2.9220858	-2.1772404	86.21299026	4.37166954	6.4457775
0.29	29	-0.003	-1.008	-0.022	1.9480572	3.0366774	-2.0626488	86.23590858	4.39458786	6.4744254
0.3	30	0	-1.007	-0.019	1.8334656	3.2085648	-2.005353	86.26455648	4.37739912	6.50880288
0.31	31	0.002	-1.006	-0.017	1.5469866	3.2658606	-1.8334656	86.2874748	4.39458786	6.54318036
0.32	32	0.003	-1.007	-0.02	1.432395	3.2658606	-1.6615782	86.30466354	4.4117766	6.57182826
0.33	33	0.004	-1.009	-0.023	1.3178034	3.0366774	-1.3178034	86.3161227	4.42896534	6.60047616
0.34	34	0.004	-1.017	-0.022	1.3178034	2.4637194	-1.0313244	86.33331144	4.4404245	6.62912406
0.35	35	0.002	-1.023	-0.018	0.9740286	2.1772404	-0.8021412	86.36195934	4.37739912	6.65777196
0.36	36	0	-1.024	-0.018	0.6302538	1.9480572	-0.6302538	86.3734185	4.38885828	6.68069028
0.37	37	0.001	-1.022	-0.02	0.2291832	1.7761698	-0.4583664	86.3734185	4.39458786	6.69787902
0.38	38	0.002	-1.018	-0.023	0.0572958	1.6042824	-0.1145916	86.37914808	4.39458786	6.70933818
0.39	39	0.003	-1.014	-0.021	0.0572958	1.2605076	0.2291832	86.37914808	4.39458786	6.72652692
0.4	40	0.002	-1.013	-0.018	0	0.859437	0.572958	86.42498472	4.22270046	6.75517482
0.41	41	0.001	-1.01	-0.018	0	0.286479	0.8021412	86.42498472	4.2112413	6.7609044
0.42	42	0	-1.007	-0.02	-0.1145916	0.1718874	0.7448454	86.42498472	4.20551172	6.7609044
0.43	43	-0.001	-1.005	-0.02	-0.286479	0.0572958	0.6302538	86.41925514	4.19978214	6.76663398
0.44	44	-0.004	-1.002	-0.019	-0.286479	0	0.4010706	86.41925514	4.19405256	6.76663398
0.45	45	-0.006	-1.002	-0.02	-0.0572958	0	0.0572958	86.55676506	3.47212548	6.86403684
0.46	46	-0.007	-1.004	-0.022	0	0.1718874	-0.1145916	86.55676506	3.47212548	6.86976642
0.47	47	-0.009	-1.004	-0.021	0	0.286479	-0.286479	86.55676506	3.47785506	6.86976642
0.48	48	-0.008	-1.003	-0.025	-0.0572958	0.4583664	-0.3437748	86.55676506	3.47785506	6.875496
0.49	49	-0.005	-1.005	-0.026	0.0572958	0.4010706	-0.4010706	86.55676506	3.48358464	6.88122558
0.5	50	-0.003	-1.004	-0.027	0.2291832	0.286479	-0.4583664	86.57968338	3.31169724	6.90987348
0.51	51	-0.002	-1.004	-0.027	0.286479	0.286479	-0.4583664	86.57968338	3.31742682	6.90987348
0.52	52	0	-1.003	-0.028	0.4010706	0.1145916	-0.5156622	86.58541296	3.3231564	6.90987348
0.53	53	0	-1.002	-0.029	0.6302538	-0.1145916	-0.7448454	86.59114254	3.32888598	6.90987348
0.54	54	0	-1.002	-0.027	0.859437	-0.286479	-0.9167328	86.6026017	3.34034514	6.9041439
0.55	55	0	-1.003	-0.024	1.0313244	-0.5156622	-1.0886202	86.62552002	3.28877892	6.90987348
0.56	56	-0.002	-1.001	-0.024	1.3178034	-0.859437	-1.3178034	86.63697918	3.30023808	6.89841432
0.57	57	-0.009	-1.005	-0.029	1.4896908	-0.9740286	-1.718874	86.65416792	3.31742682	6.88695516
0.58	58	-0.012	-1.004	-0.025	1.9480572	-0.2291832	-2.2345362	86.67135666	3.34034514	6.88695516
0.59	59	-0.013	-1.002	-0.012	2.4637194	0.1718874	-2.6929026	86.70000456	3.36899304	6.88695516
0.6	60	-0.014	-1	-0.012	2.291832	0.3437748	-2.86479	86.73438204	3.35753388	6.89268474
0.61	61	-0.013	-1	-0.011	2.3491278	0.8021412	-2.9793816	86.75730036	3.38618178	6.89841432
0.62	62	-0.009	-1.001	-0.01	2.4064236	0.9740286	-2.9793816	86.78021868	3.41482968	6.90987348
