TimeStamp(s),FrameCounter,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,EulerX,EulerY,EulerZ
0.01,1,-0.039,-1.008,-0.051,-0.5156622,-2.4064236,-0.4010706,86.17861278,-1.8334656,-16.71318486
0.02,2,-0.042,-1.008,-0.052,-0.6875496,-2.291832,-0.4583664,86.1728832,-1.8334656,-16.73610318
0.03,3,-0.043,-1.009,-0.052,-0.8021412,-2.1772404,-0.4010706,86.16715362,-1.82773602,-16.7590215
0.04,4,-0.044,-1.009,-0.052,-0.9740286,-2.005353,-0.286479,86.15569446,-1.82773602,-16.78193982
0.05,5,-0.042,-1.009,-0.055,-1.145916,-1.3750992,-0.2291832,86.13277614,-1.8334656,-16.7876694
0.06,6,-0.041,-1.008,-0.061,-1.2032118,-1.145916,-0.3437748,86.12131698,-1.82773602,-16.79912856
0.07,7,-0.039,-1.006,-0.061,-1.0313244,-1.0313244,-0.286479,86.10985782,-1.82773602,-16.81058772
0.08,8,-0.038,-1.003,-0.057,-0.8021412,-1.145916,-0.2291832,86.09839866,-1.82200644,-16.82204688
0.09,9,-0.037,-1.001,-0.059,-0.8021412,-1.2605076,-0.1718874,86.09266908,-1.82200644,-16.83923562
0.1,10,-0.038,-1,-0.06,-0.8021412,-1.432395,-0.286479,86.06975076,-1.82200644,-16.85069478
0.11,11,-0.04,-1,-0.056,-0.6302538,-1.432395,-0.4010706,86.06402118,-1.82200644,-16.86215394
0.12,12,-0.042,-1.001,-0.057,-0.572958,-1.3178034,-0.5156622,86.0582916,-1.81627686,-16.87934268
0.13,13,-0.041,-1.004,-0.059,-0.572958,-1.2032118,-0.5156622,86.05256202,-1.81054728,-16.89080184
0.14,14,-0.038,-1.004,-0.06,-0.4583664,-1.2605076,-0.4010706,86.04683244,-1.8048177,-16.902261
0.15,15,-0.037,-1.009,-0.061,-0.4583664,-1.5469866,-0.2291832,86.02391412,-1.8048177,-16.91944974
0.16,16,-0.036,-1.005,-0.055,-0.3437748,-1.6615782,-0.0572958,86.02391412,-1.8048177,-16.93663848
0.17,17,-0.036,-1.003,-0.05,-0.4010706,-1.6615782,0,86.01818454,-1.8048177,-16.95382722
0.18,18,-0.038,-1.004,-0.047,-0.859437,-1.7761698,0,86.01245496,-1.8048177,-16.97101596
0.19,19,-0.038,-1.006,-0.049,-1.2605076,-1.7761698,0,85.99526622,-1.8048177,-16.9882047
0.2,20,-0.04,-1.005,-0.048,-1.3178034,-1.432395,-0.0572958,85.98380706,-1.81627686,-16.99966386
0.21,21,-0.044,-1.003,-0.047,-0.9167328,-0.7448454,-0.2291832,85.9723479,-1.81627686,-17.00539344
0.22,22,-0.044,-1.003,-0.049,-0.5156622,-0.4010706,-0.286479,85.96661832,-1.81054728,-17.01112302
0.23,23,-0.041,-1,-0.052,-0.1145916,-0.5156622,-0.4010706,85.96661832,-1.8048177,-17.0168526
0.24,24,-0.036,-0.999,-0.056,0.0572958,-0.7448454,-0.3437748,85.96661832,-1.8048177,-17.02258218
0.25,25,-0.033,-1.001,-0.057,0.1718874,-0.8021412,-0.3437748,85.94942958,-1.79335854,-17.03404134
0.26,26,-0.031,-1.004,-0.058,0.3437748,-0.8021412,-0.3437748,85.94942958,-1.78762896,-17.03977092
0.27,27,-0.031,-1.007,-0.059,0.3437748,-0.5156622,-0.1718874,85.95515916,-1.78762896,-17.0455005
0.28,28,-0.034,-1.005,-0.062,0.1718874,-0.4583664,0,85.95515916,-1.78762896,-17.05123008
0.29,29,-0.036,-1.001,-0.064,0.1145916,-0.8021412,0,85.96088874,-1.78762896,-17.06268924
0.3,30,-0.036,-0.999,-0.062,0.1718874,-0.9167328,-0.0572958,85.92651126,-1.79335854,-17.06268924
0.31,31,-0.036,-1,-0.06,0.2291832,-1.2032118,-0.2291832,85.93224084,-1.78762896,-17.0741484
0.32,32,-0.037,-1.001,-0.061,0,-1.3750992,-0.3437748,85.93224084,-1.78762896,-17.09133714
0.33,33,-0.038,-1.005,-0.064,-0.0572958,-1.432395,-0.4583664,85.93224084,-1.78189938,-17.10852588
0.34,34,-0.037,-1.009,-0.064,0,-1.4896908,-0.572958,85.93224084,-1.7761698,-17.11998504
0.35,35,-0.035,-1.009,-0.061,0.0572958,-1.6042824,-0.6302538,85.9150521,-1.77044022,-17.13717378
0.36,36,-0.035,-1.006,-0.063,-0.286479,-1.6042824,-0.6875496,85.9150521,-1.76471064,-17.15436252
0.37,37,-0.035,-1.006,-0.062,-0.4583664,-1.432395,-0.6302538,85.90932252,-1.75898106,-17.16582168
0.38,38,-0.034,-1.006,-0.059,-0.4583664,-1.4896908,-0.6302538,85.90932252,-1.75325148,-17.18301042
0.39,39,-0.035,-1.006,-0.058,-0.5156622,-1.4896908,-0.6302538,85.90359294,-1.7475219,-17.20019916
0.4,40,-0.036,-1.003,-0.061,-0.7448454,-1.432395,-0.6875496,85.88067462,-1.7475219,-17.21165832
0.41,41,-0.037,-1.004,-0.063,-0.6875496,-1.6042824,-0.572958,85.87494504,-1.74179232,-17.22884706
0.42,42,-0.037,-1.004,-0.065,-0.572958,-1.6615782,-0.572958,85.86921546,-1.73606274,-17.2460358
0.43,43,-0.037,-1.004,-0.063,-0.4010706,-1.718874,-0.4583664,85.86348588,-1.73033316,-17.26322454
0.44,44,-0.037,-1.003,-0.059,-0.286479,-1.6042824,-0.4583664,85.86348588,-1.72460358,-17.28041328
0.45,45,-0.038,-1.004,-0.057,-0.4583664,-1.3178034,-0.572958,85.84629714,-1.72460358,-17.29187244
0.46,46,-0.038,-1.003,-0.058,-0.572958,-1.145916,-0.6302538,85.84056756,-1.718874,-17.3033316
0.47,47,-0.039,-1.006,-0.061,-0.6302538,-1.0886202,-0.6302538,85.83483798,-1.71314442,-17.31479076
0.48,48,-0.039,-1.006,-0.061,-0.6302538,-1.2605076,-0.5156622,85.8291084,-1.71314442,-17.32624992
0.49,49,-0.035,-1.002,-0.06,-0.859437,-1.3178034,-0.4583664,85.81764924,-1.70741484,-17.33770908
0.5,50,-0.033,-1.003,-0.057,-0.7448454,-1.432395,-0.4010706,85.8004605,-1.70168526,-17.35489782
0.51,51,-0.034,-1.004,-0.055,-0.572958,-1.432395,-0.286479,85.8004605,-1.70168526,-17.37208656
0.52,52,-0.037,-1.006,-0.058,-0.6302538,-1.2605076,-0.286479,85.78900134,-1.69595568,-17.38354572
0.53,53,-0.038,-1.005,-0.062,-0.572958,-1.0313244,-0.286479,85.78327176,-1.69595568,-17.39500488
0.54,54,-0.039,-1.005,-0.063,-0.572958,-1.145916,-0.2291832,85.77754218,-1.6902261,-17.40646404
0.55,55,-0.037,-1.005,-0.065,-0.572958,-1.2605076,-0.1718874,85.75462386,-1.69595568,-17.41219362
0.56,56,-0.035,-1.003,-0.065,-0.4583664,-1.3750992,-0.1145916,85.74889428,-1.69595568,-17.42938236
0.57,57,-0.037,-1.002,-0.065,-0.5156622,-1.2605076,-0.1718874,85.7431647,-1.69595568,-17.44084152
0.58,58,-0.037,-1.001,-0.064,-0.3437748,-1.3178034,-0.1718874,85.73743512,-1.6902261,-17.45230068
0.59,59,-0.038,-1.005,-0.061,-0.3437748,-1.3178034,-0.286479,85.73743512,-1.6902261,-17.46948942
0.6,60,-0.038,-1.005,-0.058,-0.3437748,-1.432395,-0.286479,85.72597596,-1.70168526,-17.475219
0.61,61,-0.04,-1.007,-0.057,-0.3437748,-0.9740286,-0.0572958,85.72024638,-1.70168526,-17.48667816
0.62,62,-0.04,-1.011,-0.057,-0.1718874,0.2291832,0.2291832,85.72024638,-1.70168526,-17.48667816
0.63,63,-0.038,-1.012,-0.059,-0.4010706,0.4583664,0.2291832,85.7145168,-1.70168526,-17.48094858
0.64,64,-0.036,-1.01,-0.059,-0.5156622,0.4583664,0.3437748,85.70878722,-1.70741484,-17.475219
0.65,65,-0.036,-1.008,-0.06,-0.6302538,0.286479,0.4010706,85.67440974,-1.718874,-17.46948942
0.66,66,-0.038,-1.006,-0.06,-0.8021412,0.0572958,0.3437748,85.66868016,-1.718874,-17.46948942
0.67,67,-0.039,-1.004,-0.062,-1.0886202,0,0.1145916,85.657221,-1.72460358,-17.46375984
0.68,68,-0.042,-1.007,-0.065,-1.432395,0.1145916,-0.0572958,85.64003226,-1.718874,-17.46375984
0.69,69,-0.043,-1.007,-0.062,-1.6615782,0.0572958,-0.1145916,85.62284352,-1.718874,-17.46375984
0.7,70,-0.044,-1.006,-0.063,-1.9480572,0.1718874,-0.286479,85.59419562,-1.73033316,-17.45803026
0.71,71,-0.043,-1.005,-0.065,-2.291832,0.6302538,-0.2291832,85.5712773,-1.73033316,-17.45230068
